Occupation Code,Description,Category,,c
261112,Systems Analyst,Principal Title,,
261313,Systems Architect,Specialisation,,
263211,Systems Auditor (ICT),Specialisation,,
262113,Systems Manager,Alternative Title,,
313112,Systems Support Officer,Alternative Title,,
263213,Systems Tester,Alternative Title,,
711911,Tablet Making Machine Operator,Specialisation,,
441312,Tactical Response Group Officer,Specialisation,,
242211,TAFE Lecturer,Specialisation,,
134499,TAFE Registrar,Occupation in nec category,,
242211,TAFE Teacher,Specialisation,,
839412,Tailer-out,Specialisation,,
212113,Talkback Host,Specialisation,,
712912,Tank Farm Operator (Petroleum),Specialisation,,
733114,Tanker Driver,Principal Title,,
711712,Tanner,Specialisation,,
839917,Tannery Worker,Specialisation,,
451814,Tattooist,Specialisation,,
221113,Taxation Accountant,Principal Title,,
221113,Taxation Agent,Alternative Title,,
221113,Taxation Consultant,Alternative Title,,
224311,Taxation Economist,Specialisation,,
599516,Taxation Inspector,Principal Title,,
731112,Taxi Driver,Principal Title,,
149999,Taxi Proprietor,Occupation in nec category,,
732111,Taxi Truck Driver,Specialisation,,
399311,Taxidermist,Specialisation,,
842299,Tea Plantation Worker,Occupation in nec category,,
842299,Tea Tree Farm Worker,Occupation in nec category,,
249311,Teacher of English to Speakers of Other Languages,Principal Title,,
241511,Teacher of Gifted Students,Specialisation,,
241512,Teacher of the Hearing Impaired,Principal Title,,
241513,Teacher of the Sight Impaired,Principal Title,,
422116,Teachers' Aide,Principal Title,,
422116,Teachers' Assistant,Specialisation,,
342212,Technical Cable Jointer,Principal Title,,
212317,Technical Director,Principal Title,,
232412,Technical Illustrator,Specialisation,,
211311,Technical Photographer,Specialisation,,
212317,Technical Producer,Alternative Title,,
225499,Technical Sales Representatives nec,Principal Title,,
212415,Technical Writer,Principal Title,,
342414,Technician Telecommunication Systems (Army),Specialisation,,
399999,Technicians and Trades Workers nec,Principal Title,,
342412,Telecommunications Cable Jointer,Principal Title,,
263312,Telecommunications Consultant,Alternative Title,,
263311,Telecommunications Engineer,Principal Title,,
313212,Telecommunications Field Engineer,Principal Title,,
342413,Telecommunications Linesworker / Telecommunications Line Mechanic,Principal Title,,
263312,Telecommunications Network Engineer,Principal Title,,
313213,Telecommunications Network Planner,Principal Title,,
263312,Telecommunications Specialist,Alternative Title,,
313214,Telecommunications Technical Officer or Technologist,Principal Title,,
342414,Telecommunications Technician,Principal Title,,
639311,Telemarketer,Principal Title,,
312412,Telemetry Technician,Specialisation,,
561113,Telephone Betting Clerk,Principal Title,,
561611,Telephone Operator,Alternative Title,,
451813,Telephone Sex Worker,Specialisation,,
399517,Television Equipment Operator,Principal Title,,
212416,Television Journalist,Principal Title,,
212114,Television Presenter,Principal Title,,
212112,Television Producer,Specialisation,,
212416,Television Reporter,Alternative Title,,
149113,Ten Pin Bowling Centre Manager,Specialisation,,
149113,Tennis Centre Manager,Specialisation,,
452316,Tennis Coach,Principal Title,,
452499,Tennis Player,Occupation in nec category,,
263213,Test Analyst (ICT),Alternative Title,,
233999,Test and Activation Engineer (Naval Shipbuilding),Occupation in nec category,,
711799,Textile and Footwear Production Machine Operators nec,Principal Title,,
211499,Textile Artist,Occupation in nec category,,
232312,Textile Designer,Specialisation,,
711714,Textile Dyeing and Finishing Machine Operator,Principal Title,,
711714,Textile Dyer,Specialisation,,
839311,Textile Examiner,Specialisation,,
711714,Textile Finisher,Specialisation,,
711713,Textile Knitter,Alternative Title,,
323215,Textile Machine Mechanic,Specialisation,,
311499,Textile Technical Officer,Occupation in nec category,,
323215,"Textile, Clothing and Footwear Mechanic",Principal Title,,
392112,Textiles Printer,Specialisation,,
411611,Thai Masseur,Specialisation,,
399599,Theatrical Dresser,Occupation in nec category,,
423314,Therapist's Assistant,Alternative Title,,
423314,Therapy Aide,Principal Title,,
711599,Thermoforming Machine Operator,Occupation in nec category,,
253324,Thoracic Medicine Physician,Alternative Title,,
253324,Thoracic Medicine Specialist,Principal Title,,
899921,Ticket Collector or Usher,Principal Title,,
639411,Ticket Seller,Principal Title,,
821111,Tiler's Assistant,Specialisation,,
733111,Tilt Tray Driver,Specialisation,,
133512,Timber and Wood Products Mill Manager,Specialisation,,
332111,Timber Floor Installer,Specialisation,,
839312,Timber Grader,Specialisation,,
839412,Timber Mill Worker,Alternative Title,,
712999,Timber Treatment Plant Operator,Occupation in nec category,,
452323,Timekeeper (Sports),Specialisation,,
312511,Tool Design Draftsperson,Specialisation,,
312511,Tool Designer,Specialisation,,
712211,Tool Pusher,Specialisation,,
712311,Tool Setter,Specialisation,,
322111,Tool Smith,Specialisation,,
323412,Toolmaker,Principal Title,,
451412,Tour Escort,Alternative Title,,
451412,Tour Guide,Principal Title,,
451412,Tour Leader,Alternative Title,,
212113,Tourism Radio Presenter,Specialisation,,
451611,Tourist Adviser,Alternative Title,,
451611,Tourist Information Officer,Principal Title,,
733115,Tow Truck Driver,Principal Title,,
712111,Tower Crane Operator,Specialisation,,
232611,Town Planner,Specialisation,,
234599,Toxicologist,Occupation in nec category,,
821611,Track Inspector,Specialisation,,
361116,Track Rider,Principal Title,,
361116,Trackwork Rider,Alternative Title,,
721111,Tractor Operator,Specialisation,,
271214,Trade Mark Attorney,Specialisation,,
599599,Trade Mark Examiner,Occupation in nec category,,
223113,Trade Union Official,Specialisation,,
111211,Trade Union Secretary,Specialisation,,
222213,Trading Floor Operator (Stock Exchange),Specialisation,,
252214,Traditional Chinese Medicine Practitioner,Principal Title,,
252215,Traditional Māori Health Practitioner,Principal Title,,
232611,Traffic and Transport Planner,Specialisation,,
712918,Train Controller,Principal Title,,
731311,Train Driver,Principal Title,,
599517,Train Examiner,Principal Title,,
132311,Training and Development Manager,Specialisation,,
223311,Training and Development Professional,Principal Title,,
223311,Training Officer,Alternative Title,,
223311,Training Systems Officer (Navy),Specialisation,,
731312,Tram Driver,Principal Title,,
599518,Tram Inspector,Specialisation,,
272413,Translator,Principal Title,,
272499,Transport Analyst,Occupation in nec category,,
149413,Transport Company Manager,Principal Title,,
639412,Transport Conductor,Principal Title,,
133611,Transport Corps Officer (Army),Specialisation,,
233215,Transport Engineer,Principal Title,,
599518,Transport Operations Inspector,Principal Title,,
272199,Trauma Counsellor,Occupation in nec category,,
142116,Travel Agency Manager,Principal Title,,
451612,Travel Agent,Alternative Title,,
451799,Travel Attendants nec,Principal Title,,
599999,Travel Clerk,Occupation in nec category,,
451612,Travel Consultant,Principal Title,,
843113,Tree Faller,Principal Title,,
121599,Tree Farmer,Occupation in nec category,,
843113,Tree Feller,Alternative Title,,
721112,Tree Feller Operator,Specialisation,,
843111,Tree Planter,Specialisation,,
362512,Tree Surgeon,Alternative Title,,
843111,Tree Thinner (NZ),Specialisation,,
362512,Tree Worker,Principal Title,,
452216,Trekking Guide,Principal Title,,
721214,Trench Digging Machine Operator,Specialisation,,
271213,Tribunal Member,Principal Title,,
899922,Trolley Collector,Principal Title,,
591211,Truck Despatcher,Specialisation,,
733111,Truck Driver (General),Principal Title,,
891112,Truck Driver's Offsider,Principal Title,,
599215,Trust Clerk,Alternative Title,,
599215,Trust Officer,Principal Title,,
711799,Tufting Machine Operator,Occupation in nec category,,
899211,Tug Hand,Specialisation,,
231213,Tug Master,Specialisation,,
721999,Tunneller,Occupation in nec category,,
842299,Turf Farm Worker,Occupation in nec category,,
121615,Turf Farmer,Alternative Title,,
121615,Turf Grower,Principal Title,,
362313,Turf Tradesperson,Alternative Title,,
899921,Turnstile Attendant,Specialisation,,
712311,Turret Punch Operator,Specialisation,,
532113,Typist,Alternative Title,,
711516,Tyre Builder,Specialisation,,
839311,Tyre Finisher and Examiner,Specialisation,,
899415,Tyre Fitter,Principal Title,,
711516,Tyre Retreader,Specialisation,,
261113,UI Designer,Alternative Title,,
251214,Ultrasonographer,Alternative Title,,
312912,Ultrasound Technician,Specialisation,,
712212,Underground Truck Operator,Specialisation,,
451311,Undertaker,Alternative Title,,
431999,Uniform Room Attendant,Occupation in nec category,,
223113,Union Organiser,Specialisation,,
222312,Unit Trust Manager,Specialisation,,
242112,University Demonstrator,Specialisation,,
242111,University Lecturer,Principal Title,,
134499,University Registrar,Occupation in nec category,,
242112,University Tutor,Principal Title,,
711999,Unmanned Aerial Vehicle (UAV) Pilot,Occupation in nec category,,
393311,Upholsterer,Principal Title,,
811611,Upholstery Cleaner,Specialisation,,
232611,Urban and Regional Planner,Principal Title,,
362511,Urban Forester,Alternative Title,,
253913,Urogynaecologist,Specialisation,,
253518,Urologist,Principal Title,,
261113,Usability Architect,Alternative Title,,
261113,User Experience Designer (ICT),Principal Title,,
261113,User Interface Designer,Alternative Title,,
362512,Utility Tree Worker,Specialisation,,
261113,UX Designer,Alternative Title,,
224512,Valuer,Principal Title,,
732111,Van Driver,Alternative Title,,
253521,Vascular Surgeon,Principal Title,,
121616,Vegetable Farm Manager,Alternative Title,,
842218,Vegetable Farm Worker (Aus) / Market Garden Worker (NZ),Principal Title,,
121616,Vegetable Grower (Aus) / Market Gardener (NZ),Principal Title,,
842221,Vegetable Picker,Principal Title,,
832211,Vehicle Assembler,Specialisation,,
839311,Vehicle Assembly Inspector,Specialisation,,
324211,Vehicle Body Builder,Principal Title,,
324211,Vehicle Body Maker,Alternative Title,,
811111,Vehicle Detailer,Alternative Title,,
321211,Vehicle Mechanic (Army),Specialisation,,
324311,Vehicle Painter,Principal Title,,
324311,Vehicle Refinisher,Alternative Title,,
324212,Vehicle Trimmer,Principal Title,,
324212,Vehicle Upholsterer,Specialisation,,
899412,Vehicle Window Tinter,Specialisation,,
899711,Vending Machine Attendant,Principal Title,,
899711,Vending Machine Refiller,Alternative Title,,
711314,Veneer Production Machine Operator,Specialisation,,
711999,Venetian Blind Machine Operator,Occupation in nec category,,
211113,Ventriloquist,Specialisation,,
899921,Venue Attendant,Alternative Title,,
323214,Vertical Borer,Specialisation,,
231299,Vessel Traffic Officer,Occupation in nec category,,
234711,Veterinarian,Principal Title,,
361311,Veterinary Assistant,Alternative Title,,
361311,Veterinary Nurse,Principal Title,,
234711,Veterinary Parasitologist,Specialisation,,
234711,Veterinary Pathologist,Specialisation,,
512299,Veterinary Practice Manager,Occupation in nec category,,
234711,Veterinary Surgeon,Alternative Title,,
111212,Vice Admiral (Navy),Specialisation,,
399516,Video and Sound Recorder,Specialisation,,
149111,Video Arcade Manager,Specialisation,,
621912,Video Library Assistant,Specialisation,,
212318,Video Producer,Principal Title,,
342313,Video Technician,Specialisation,,
121617,Vigneron,Alternative Title,,
121617,Vineyard Manager (Wine Grapes),Alternative Title,,
363117,Vineyard Supervisor,Principal Title,,
842222,Vineyard Worker,Principal Title,,
332111,Vinyl Layer,Specialisation,,
711513,Vinyl Welder and Fabricator,Specialisation,,
211213,Violinist,Specialisation,,
399517,Vision Mixer,Specialisation,,
211499,Visual Arts and Crafts Professionals nec,Principal Title,,
639511,Visual Merchandiser,Principal Title,,
121617,Viticulturist (Wine Grapes),Alternative Title,,
212499,Vlogger,Occupation in nec category,,
211214,Vocalist,Alternative Title,,
242211,Vocational Education Teacher / Polytechnic Teacher,Principal Title,,
211111,Voice-over Artist,Specialisation,,
271213,Waitangi Tribunal Member (NZ),Specialisation,,
431511,Waiter,Principal Title,,
333211,Wall and Ceiling Fixer,Alternative Title,,
333411,Wall and Floor Tiler,Principal Title,,
393213,Wardrobe Assistant,Specialisation,,
393213,Wardrobe Coordinator,Specialisation,,
394112,Wardrobe Installer,Specialisation,,
423311,Wardsperson,Alternative Title,,
591116,Warehouse Administrator,Principal Title,,
741111,Warehouse Assistant,Alternative Title,,
711713,Warp Knitter,Specialisation,,
712999,Wash Plant Operator,Occupation in nec category,,
621911,Waste Recycler,Specialisation,,
899611,Waste Removalist,Alternative Title,,
712921,Waste Water or Water Plant Operator,Principal Title,,
323316,Watch and Clock Maker and Repairer,Principal Title,,
222111,Water Broker/Trader,Specialisation,,
599521,Water Inspector,Principal Title,,
234313,Water Quality Analyst,Specialisation,,
311412,Water Resources Technical Officer,Specialisation,,
733114,Water Tanker Driver,Specialisation,,
891113,Waterside Worker,Principal Title,,
233911,Weapons Aeronautical Engineering Officer (Navy),Specialisation,,
231212,Weapons Electrical Engineering Officer (Navy),Specialisation,,
234913,Weather Forecaster,Specialisation,,
711715,Weaving Machine Operator,Principal Title,,
313113,Web Administrator,Principal Title,,
232414,Web Designer,Principal Title,,
261212,Web Developer,Principal Title,,
313113,Web Master,Alternative Title,,
261212,Web Programmer,Alternative Title,,
212412,Website/Blog Editor,Specialisation,,
149311,Wedding Coordinator,Specialisation,,
843999,Weed Controller,Occupation in nec category,,
712922,Weighbridge Operator,Principal Title,,
451512,Weight Loss Consultant,Principal Title,,
599599,Weights and Measures Inspector,Occupation in nec category,,
322313,Welder (First Class) (Aus) / Welder (NZ),Principal Title,,
234912,Welding Engineer,Specialisation,,
312912,Welding Engineering Technician,Specialisation,,
272613,Welfare Case Worker,Alternative Title,,
134214,Welfare Centre Manager,Principal Title,,
134214,Welfare Project Manager,Alternative Title,,
272613,Welfare Worker,Principal Title,,
821912,Well Treatment Offsider,Specialisation,,
272511,Whanau Support Worker (Family Support Worker) (NZ),Specialisation,,
891113,Wharf Labourer,Alternative Title,,
591212,Wharf Tally Clerk,Specialisation,,
261317,White Hat,Alternative Title,,
452217,Whitewater Rafting Guide,Principal Title,,
133312,Wholesaler,Principal Title,,
712111,Winch Operator,Specialisation,,
399213,Wind Turbine Technician,Specialisation,,
811612,Window Cleaner,Principal Title,,
639511,Window Dresser,Alternative Title,,
821411,Window Tinter (Building),Specialisation,,
899412,Windscreen Fitter,Alternative Title,,
452317,Windsurfing Instructor,Specialisation,,
121617,Wine Grape Grower,Principal Title,,
234213,Wine Maker,Principal Title,,
431511,Wine Steward,Specialisation,,
831118,Winery Cellar Hand,Principal Title,,
111212,Wing Commander (Air Force),Specialisation,,
711511,Wire Drawer (Plastics),Specialisation,,
839413,Wood and Wood Products Factory Worker,Principal Title,,
839413,Wood and Wood Products Labourer,Alternative Title,,
394213,Wood Machinist,Principal Title,,
394299,Wood Machinists and Other Wood Trades Workers nec,Principal Title,,
394299,Wood Model Maker,Occupation in nec category,,
839412,Wood Processing Worker,Alternative Title,,
311413,Wood Technologist,Specialisation,,
394214,Wood Turner,Principal Title,,
399111,Wooden Boat Builder,Specialisation,,
394213,Woodworking Machine Setter,Specialisation,,
222111,Wool Broker,Specialisation,,
639212,Wool Buyer,Principal Title,,
363312,Wool Classer,Principal Title,,
121322,Wool Grower,Specialisation,,
842321,Wool Handler,Principal Title,,
532113,Word Processing Operator,Principal Title,,
223111,Workforce Planning Analyst,Specialisation,,
251312,Workplace Rehabilitation Officer,Specialisation,,
223113,Workplace Relations Adviser,Principal Title,,
132311,Workplace Relations Manager,Specialisation,,
242211,Workplace Trainer and Assessor,Specialisation,,
133512,Works Manager (Manufacturing),Specialisation,,
399111,Yacht Builder,Specialisation,,
711716,Yarn Carding and Spinning Machine Operator,Principal Title,,
711716,Yarn Comber,Specialisation,,
711716,Yarn Texture Machine Operator,Specialisation,,
831114,Yoghurt Maker,Specialisation,,
411716,Youth Accommodation Support Worker,Specialisation,,
271211,Youth Court Judge (NZ),Specialisation,,
411716,Youth Liaison Officer,Specialisation,,
411716,Youth Officer,Alternative Title,,
411716,Youth Support Worker,Alternative Title,,
411716,Youth Worker,Principal Title,,
361114,Zookeeper,Principal Title,,
234522,Zoologist,Principal Title,,
311413,Zoology Technical Officer,Specialisation,,
,,,,
© Commonwealth of Australia,,,,
Crown Copyright ©,,,,
